source_key,razon_social,nombre_programacion,nit,digito_verificacion,estado,source,is_placeholder
IGB MOTORCYCLE PARTS S A S,IGB MOTORCYCLE PARTS S.A.S.,IGB MOTORCYCLE PARTS S.A.S.,900985807,8,activo,programacion_mayo_2026,True
MOTO ZONE S A S,MOTO ZONE S.A.S,MOTO ZONE S.A.S,900949334,7,activo,programacion_mayo_2026,True
GRAN PAPEL AUD EXTERNA,Gran papel AUD EXTERNA,Gran papel AUD EXTERNA,900968985,4,activo,programacion_mayo_2026,True
TRANSPORTES GOMEZ HERNANDEZ,TRANSPORTES GOMEZ HERNANDEZ,TRANSPORTES GOMEZ HERNANDEZ,900950271,6,activo,programacion_mayo_2026,True
KAKARAKA SAS,KAKARAKA SAS,KAKARAKA SAS,900081685,6,activo,programacion_mayo_2026,True
SAVIOS,SAVIOS,SAVIOS,900062871,5,activo,programacion_mayo_2026,True
ISUZU,ISUZU,ISUZU,900609745,6,activo,programacion_mayo_2026,True
ISUZU ZONA FRANCA,ISUZU ZONA FRANCA,ISUZU ZONA FRANCA,900692072,9,activo,programacion_mayo_2026,True
MONTACARGAS MASTER,MONTACARGAS MASTER,MONTACARGAS MASTER,900220853,4,activo,programacion_mayo_2026,True
REDPLAST,REDPLAST,REDPLAST,900255793,3,activo,programacion_mayo_2026,True
METROPLUS,METROPLUS,METROPLUS,900124030,2,activo,programacion_mayo_2026,True
GRUPO KONDOR COLOMBIA S A S,GRUPO KONDOR COLOMBIA S.A.S.,GRUPO KONDOR COLOMBIA S.A.S.,900005790,5,activo,programacion_mayo_2026,True
FABRICA DE CALZADO KONDOR SAS,FABRICA DE CALZADO KONDOR SAS,FABRICA DE CALZADO KONDOR SAS,900387036,3,activo,programacion_mayo_2026,True
DOTAKONDOR SAS,DOTAKONDOR SAS,DOTAKONDOR SAS,900693152,2,activo,programacion_mayo_2026,True
ALMACENES LCC S A S,ALMACENES LCC S.A.S,ALMACENES LCC S.A.S,900294314,2,activo,programacion_mayo_2026,True
INVERSIONES POSADA E HIJOS Y CIA S A S,INVERSIONES POSADA E HIJOS Y CIA S.A.S,INVERSIONES POSADA E HIJOS Y CIA S.A.S,900545016,3,activo,programacion_mayo_2026,True
INVENTTA,INVENTTA,INVENTTA,900070175,2,activo,programacion_mayo_2026,True
KARIBIK S A S,KARIBIK S.A.S.,KARIBIK S.A.S.,900376795,7,activo,programacion_mayo_2026,True
DIMETRIX,DIMETRIX,DIMETRIX,900871952,1,activo,programacion_mayo_2026,True
UNIESTEL,UNIESTEL,UNIESTEL,900601356,3,activo,programacion_mayo_2026,True
GOAL,GOAL,GOAL,900717436,8,activo,programacion_mayo_2026,True
MAMASITA MEDALLO SABIDURIA CRIOLLLA,MAMASITA MEDALLO / SABIDURIA CRIOLLLA,MAMASITA MEDALLO / SABIDURIA CRIOLLLA,900816082,2,activo,programacion_mayo_2026,True
DERMAPAU SAS,DERMAPAU SAS,DERMAPAU SAS,900093945,5,activo,programacion_mayo_2026,True
IMPULSA,IMPULSA,IMPULSA,900649869,8,activo,programacion_mayo_2026,True
SANUSS S A S,SANUSS S. A. S,SANUSS S. A. S,900014875,0,activo,programacion_mayo_2026,True
CONSTRUSOL,CONSTRUSOL,CONSTRUSOL,900908060,6,activo,programacion_mayo_2026,True
DIGITAL,DIGITAL,DIGITAL,900736044,0,activo,programacion_mayo_2026,True
WALLY,WALLY,WALLY,900521058,8,activo,programacion_mayo_2026,True
BODEGAS AUTOMATIZADAS,BODEGAS AUTOMATIZADAS,BODEGAS AUTOMATIZADAS,900434142,2,activo,programacion_mayo_2026,True
CORPORACION SUPERARSE,CORPORACIÓN SUPERARSE,CORPORACIÓN SUPERARSE,900828576,8,activo,programacion_mayo_2026,True
BECKER KOCH SA,BECKER & KOCH SA,BECKER & KOCH SA,900924940,2,activo,programacion_mayo_2026,True
CIDEPRO,CIDEPRO,CIDEPRO,900497990,8,activo,programacion_mayo_2026,True
DOMINICA 93 S A S,DOMINICA 93 S.A.S,DOMINICA 93 S.A.S,900702455,7,activo,programacion_mayo_2026,True
OPERADORA AGROPECUARIA OPERAGRO SAS,OPERADORA AGROPECUARIA OPERAGRO SAS,OPERADORA AGROPECUARIA OPERAGRO SAS,900158320,2,activo,programacion_mayo_2026,True
